TaxiID;Line;PassengersLoaded;TotalDistance;NodesHit;LoadAVG;LoadMax;Standstill;
67;-1;808;5582383,369222047;8681;6,5952;8;151;
60;-1;768;5576817,427798504;8644;6,6396;8;120;
77;-1;859;5571290,583607931;8545;6,5317;8;176;
82;-1;740;5484342,063562575;8653;6,613;8;200;
7;-1;641;5621222,83470855;8574;6,5211;8;195;
54;-1;851;5527327,895517443;8566;6,3244;8;227;
36;-1;808;5539135,334144112;8490;6,1294;8;257;
6;-1;874;5355244,607156093;8188;5,5463;8;580;
43;-1;736;4951424,217057595;7390;5,1095;8;1471;
23;-1;644;4273414,14213348;6478;4,0342;8;2610;
87;-1;560;3415248,5552561632;5208;3,2825;8;4013;
4;-1;445;2921845,1514663273;4380;2,4766;8;4910;
91;-1;312;1916810,9189208224;2963;1,5217;8;6601;
93;-1;177;1092477,6724293074;1689;0,4619;8;8093;
20;-1;70;444861,1865653817;753;0,1126;5;9206;
21;-1;94;476556,43390968983;802;0,155;8;9124;
62;-1;65;335841,17557188484;620;0,1045;5;9352;
12;-1;85;459110,72431101213;756;0,1257;6;9190;
85;-1;76;348329,90812930826;635;0,1457;6;9335;
89;-1;66;393693,9095090444;648;0,1009;4;9288;
56;-1;71;345459,3929158173;612;0,0953;5;9362;
15;-1;71;327761,6208007108;625;0,1413;6;9354;
40;-1;68;372056,06694561534;620;0,1624;7;9342;
49;-1;79;375726,35334911477;649;0,134;7;9314;
88;-1;65;343362,30631794955;614;0,1096;5;9361;
1;-1;71;407225,37368246395;724;0,1455;8;9236;
76;-1;64;385392,01433890493;641;0,1234;5;9328;
32;-1;71;372943,39737359644;608;0,1289;8;9369;
57;-1;64;315660,04607832263;578;0,1203;5;9397;
53;-1;64;319875,1057577348;598;0,1382;8;9380;
64;-1;59;318207,4206215533;529;0,119;6;9435;
13;-1;71;330897,3868064087;585;0,1408;6;9391;
33;-1;78;322198,2428602345;582;0,1349;8;9388;
27;-1;70;333065,3283847607;579;0,1287;7;9392;
34;-1;65;336255,13338969694;633;0,1333;7;9344;
35;-1;62;301295,76700316626;567;0,1207;7;9402;
90;-1;64;334252,73560718005;568;0,1327;6;9387;
25;-1;65;306990,7405451581;559;0,1152;7;9416;
65;-1;68;330196,5903334893;581;0,1338;6;9391;
48;-1;65;297991,2836503274;562;0,1173;5;9422;
80;-1;63;342951,70917133;580;0,114;5;9386;
81;-1;67;315031,78817859734;512;0,1099;5;9451;
69;-1;69;312088,4683682185;594;0,1393;6;9386;
73;-1;70;306292,4224023978;563;0,1294;8;9414;
74;-1;66;334890,9630375494;585;0,1331;6;9396;
37;-1;60;330910,4783621462;598;0,1091;5;9370;
39;-1;60;315602,46427199146;566;0,1151;6;9402;
10;-1;70;327853,72247301793;573;0,139;6;9399;
51;-1;64;335220,2493624435;588;0,1209;7;9381;
18;-1;60;301591,61427091586;556;0,1204;6;9424;
83;-1;72;319473,5005525305;591;0,0998;5;9400;
8;-1;69;329255,4733368602;602;0,1282;8;9368;
16;-1;72;329413,09538400645;576;0,1356;7;9387;
5;-1;60;299672,7875640229;535;0,1223;6;9433;
24;-1;65;295103,15786212636;558;0,1433;7;9435;
14;-1;67;296573,90552087035;536;0,1257;7;9432;
55;-1;64;313882,5744321413;558;0,1494;7;9415;
92;-1;60;305501,283314973;556;0,1176;7;9406;
52;-1;70;335816,0110011219;561;0,1429;6;9409;
3;-1;62;283188,3432671367;536;0,1189;6;9450;
47;-1;54;293009,26946099417;518;0,1218;6;9439;
72;-1;63;282947,8829889024;525;0,109;6;9453;
86;-1;64;306557,6867909899;543;0,1293;6;9432;
17;-1;67;293397,0863875343;538;0,0932;5;9436;
71;-1;66;315447,74255218037;556;0,1197;6;9414;
44;-1;67;326571,4804849412;563;0,1151;5;9413;
22;-1;61;319327,69127469603;561;0,1185;7;9417;
59;-1;59;315355,9986433061;565;0,1484;7;9411;
30;-1;61;307624,05260863615;494;0,1374;8;9451;
38;-1;68;293977,5332043493;553;0,1396;8;9413;
63;-1;63;330888,77432856977;558;0,1221;7;9404;
68;-1;57;297657,6302428233;537;0,0924;5;9442;
79;-1;66;311211,5374785676;531;0,1326;7;9435;
19;-1;62;284133,05365123396;530;0,1319;7;9450;
46;-1;69;286385,18242988654;550;0,144;8;9436;
70;-1;65;310491,49547369307;550;0,1386;6;9426;
28;-1;56;292853,5848994103;535;0,1335;7;9439;
84;-1;64;298062,314146539;545;0,1373;6;9446;
9;-1;57;298471,7274477571;525;0,1257;6;9438;
45;-1;60;294414,83713281265;519;0,1256;6;9444;
94;-1;67;312156,2818443794;540;0,1172;6;9436;
41;-1;70;288057,4826319972;560;0,13;8;9417;
2;-1;73;311472,02461763023;548;0,1418;7;9418;
50;-1;66;284548,35774405074;553;0,1127;6;9432;
31;-1;67;277940,7296809879;539;0,1276;8;9448;
75;-1;62;335177,9327695131;533;0,1128;6;9426;
11;-1;56;314710,9283057227;543;0,1062;5;9427;
29;-1;64;332053,8206485337;556;0,1119;6;9411;
58;-1;66;304508,086943367;546;0,1109;4;9427;
42;-1;67;322682,7723057412;550;0,1086;6;9418;
66;-1;63;308192,2765777278;544;0,1024;5;9431;
78;-1;57;298037,4105723779;542;0,1028;5;9441;
61;-1;58;294960,1172951416;558;0,1104;5;9429;
26;-1;61;309832,3721159875;552;0,1007;6;9420;
